work_id,msd_id,artist_id,shs_id,clique_size,title
"%52990,",TRAUZER128F427C242,AR54UY91187B9A6667,74210,4,I Don't Want To Hear It Anymore
"%52990,",TRREYXV128F93095CE,ARK1VZ81187FB5867E,125608,4,I Don't Want To Hear It Anymore
"%52990,",TREJAIZ128E0791228,AREQIT21187B9AEB7F,52988,4,I Don't Want To Hear It Anymore
"%25045,",TRCRIAZ128F14A53BD,AR5MJOG1187FB382DF,25056,4,Little Bitty Pretty One (LP Version)
"%25045,",TRKXEGS128F145D25F,ARFJ7T21187B9B4A35,25084,4,Little Bitty Pretty One (1998 Digital Remaster)
"%25045,",TRLJXGF128F427D798,ARS1PIB1187FB58AA6,25051,4,Little Bitty Pretty One
"%25045,",TRXPVSF128F931BEED,ARRZUPG11F43A69EF7,25053,4,Little Bitty Pretty One
"%72364,",TRJDQCE128F14639FB,ARB5IOF1187B98B23F,149801,2,I Got A Feeling
"%72364,",TRIOPTK128F147F22B,ARS73GR1187FB4AE00,72364,2,I Got A Feeling
"%80116,",TRBKXVN128C7196AFB,ARVNNXD1187B9AE50D,80116,2,Hitch Hike
"%80116,",TRSGOWH128F9344DB8,ARLLRL61187B9B6698,80118,2,Hitch Hike
"%34604,",TROIMFC128F1490D2D,ARJLK4N1187FB35EAF,82109,3,Let's Call The Whole Thing Off
"%34604,",TRCOKEP128F92C7091,AR8Y7O51187B99879D,83959,3,Let's Call The Whole Thing Off
"%34604,",TRNUHKV128F92E138B,AR1HEU81187FB3CCCC,34604,3,Let's Call The Whole Thing Off
"%35275,",TRCNYNV128F92F06DC,ARKPDFV1187B99804D,97449,2,Satin Sheets
"%35275,",TRTJEDK128F42AC54D,ARF3GX71187FB3EB66,35276,2,Satin Sheets
"%9276,",TRTUZJC128F9338FF6,AROZ9WA1187B995DF9,34520,5,Roxanne
"%9276,",TRELBYN128F1492390,ARIPLUN1187B99B9F9,9276,5,Roxanne
"%9276,",TRZBOZT128F425A65E,ARP39OU1187FB4D543,56257,5,Roxanne
"%9276,",TRGUKPU128F425A04A,ARAKARO1187B9A1EB6,9277,5,Roxanne
"%9276,",TRCLJGP128E079273D,ARUN2OO1187B9A7BF3,-1,5,Roxanne
"%5999,",TRONECC128F423F631,AROURUF1187FB532C9,149508,6,The Logical Song
"%5999,",TRAGDSY128F9339015,AROZ9WA1187B995DF9,34544,6,The Logical Song
"%5999,",TRHWMGV128F92DB31D,ARCDTNQ1250940F870,93031,6,The Logical Song
"%5999,",TRTZNQG128F1499624,AR4HL8H1187FB493DD,6001,6,Ramp! (The Logical Song)
"%5999,",TRGPZLK128F4244C41,ARZ3KE21187B9AC887,135298,6,Logical Song
"%5999,",TRNELUP128F1481553,ARRZ9UW1187B9AFA1D,-1,6,The logical song (live)
"%11135,",TREQPOP12903CBD241,AR54HMH1187FB4958C,11136,2,Wings Of A Dove  (LP Version)
"%11135,",TRMBXMA128F92FBC29,ARES2PA1187FB38083,11135,2,Wings Of A Dove
"%28153,",TRLNTHS128F92F0EF5,AROCZUC1187B9AD05B,28154,3,Pouring Water On A Drowning Man
"%28153,",TRPBXYD128F93054E8,ARTXQMG1187FB44701,28153,3,Pouring Water On A Drowning Man
"%28153,",TRWKZAK128F1495D8B,AR3KF8P1187B997E01,126021,3,Pouring Water On A Drowning Man (Remastered Single Version)
"%35057,",TRJBKRC128F92F81DB,AR198711187B9AD09F,105460,3,Go Now
"%35057,",TRWSMOY128E078E684,AR00RAE1187FB41114,43930,3,Go Now
"%35057,",TRSXUUM128F4288C90,AR4TPZ21187FB4C5CB,87339,3,Go Now
"%28171,",TRJXZDM128F42596CA,ARHTK7K1187FB3D91C,126645,2,Gigi
"%28171,",TRQTINO128F427323E,ARF6C551187FB40741,143643,2,Gigi
"%26460,",TRBIREV128EF34458E,ARJACM31187FB3EFDF,20969,2,Lovey Dovey (LP Version)
"%26460,",TRGHPFK128F4231630,AR69FR01187FB4D250,26460,2,Lovey Dovey
"%24222,",TREEXXZ128F422B94B,AR2C54R1187B993B4C,24223,5,Sweet Child O' Mine
"%24222,",TRCFOUA128E07842AC,ARM7EDF1187B9B3FA1,24222,5,Sweet Child O' Mine
"%24222,",TRAXUYH128F4236A4A,ARGR4QF1187B99350A,53439,5,Sweet Child O' Mine
"%24222,",TRJYWMK128F935A628,ARDNY8K1187FB4CC9E,-1,5,Sweet Child O' Mine
"%24222,",TRIFQSR128F423EC90,AR2F1JC1187FB4EFB0,-1,5,Sweet Child O'mine
"%4612,",TRAOYLB128E0784C47,ARY1ROO1187FB4DDC5,60749,5,Sea Of Love
"%4612,",TRRQFCW128F92E0F59,ARROAQE1187B9909CF,90034,5,Sea Of Love
"%4612,",TRRQGWG12903D06C3F,ARERLPG1187FB3BB39,80534,5,Sea Of Love
"%4612,",TREAOEF128F423AAFE,AR91NIO1187FB4D732,4613,5,Sea Of Love
"%4612,",TRYTUPL128F933D611,ARAZTVY1187B98FC27,-1,5,Sea Of Love
"%53471,",TRFUNRS128F9346BF4,AR51X3T1187B99417E,53473,2,On the Outside
"%53471,",TRDNSDP128F93426C9,ARHJFFY1187B98BA76,53471,2,On The Outside
"%9516,",TRFZRLC128F427D5C4,ARW2AMZ1187FB381AC,140018,4,Something You Got (LP Version)
"%9516,",TRUJLOV128F423F56A,ARNIYM61187FB4F85B,108455,4,Something You Got
"%9516,",TRSJZUQ128F1477DFA,ARNKK421187B9A9815,140028,4,Something You Got (LP Version)
"%9516,",TRKDPUK128F1477B98,AR3UELK1187B9A8241,9516,4,Something You Got (LP Version)
"%19243,",TRDDCFC128F42684BD,AR5JCN31187B98C79B,19244,2,No Values
"%19243,",TRIHGGC128F425E065,ARQ76LG1187B9ACD84,19243,2,No Values
"%43698,",TRFDBUS128F4271916,ARWENA51187B9A6A3E,47168,9,Hark! The Herald Angels Sing
"%43698,",TRNSSDQ128F42BAF2F,ARZ9HDR1187B99736C,47446,9,Hark The Herald Angels Sing
"%43698,",TRNKERK128F9300ACB,ARANS3K1187B9B4FEA,86674,9,Hark! The Herald Angels Sing
"%43698,",TRFMJLM12903CAF4FB,ARXJJSN1187B98CB37,46767,9,Hark the Herald Angels Sing
"%43698,",TRQXJHX128F92F146B,AR7BGWD1187FB59CCB,107973,9,Hark! The Herald Angels Sing
"%43698,",TRPHYQU128F93226FE,AR633SY1187B9AC3B9,87763,9,Hark! The Herald Angels Sing
"%43698,",TRWMLJL128F4228920,ARJ47041187B98E500,150776,9,Hark! The Herald Angels Sing
"%43698,",TRFZCHF128F92EF59C,ARD9UVF1187B9B17FE,48390,9,Hark The Herald Angels Sing
"%43698,",TRYFMYN128F426708C,ARKSZW81187B9B695D,43758,9,Hark! The Herald Angels Sing/Gloria (In Excelsis Deo)
"%20064,",TRKFUHZ128F425BADD,AR35K8C1187B98F4AF,20078,3,I Feel The Earth Move
"%20064,",TRFYGQY128F426A3DC,AR1OBVS1187B9B0A97,45322,3,I Feel The Earth Move
"%20064,",TRLNKJZ12903CDAEC3,ARLPOTR1187B9AD78D,20064,3,I Feel The Earth Move
"%32685,",TRNUOIL128EF349911,AR93MBL1187B989169,32685,2,Sunday Morning
"%32685,",TRQDOVO12903CD45E5,AR5D1U61187FB5995E,32686,2,Sunday Morning
"%72163,",TRLSPJD128F92FA9CD,ARML8X41187B990644,96341,3,Christine
"%72163,",TRLFFKS12903CDCE67,ARWDRZU11F50C49720,72163,3,Christine
"%72163,",TRBDGTT128F1496F72,ARXCYWR1271F574481,-1,3,Christine
"%42838,",TRFGJFD128F4269C4D,ARSFARZ1187FB3C60F,42839,3,Jesus Christ
"%42838,",TRETBWD12903CD7357,ARSX6IX1187B9B640C,42838,3,Jesus Christ
"%42838,",TRVTMLQ128F93279A5,ARL1G0L1187FB4066D,-1,3,Jesus Christ
"%14513,",TRKLIEL128E079178C,ARQT9SA1187B9AD3C7,14513,2,Your Gold Teeth II
"%14513,",TRZWVNF128F14993AF,AR5KAA01187FB5AEB7,14514,2,Your Gold Teeth II
"%6392,",TRFZTWP128F933874C,AREPWXH1187B99019B,102379,2,Take Me Home Country Roads
"%6392,",TRUUBCR12903CCE652,ARANIJI11F4C83EFD2,35750,2,Country Road
"%9551,",TRSICTG128F92D4679,ARERLPG1187FB3BB39,9551,2,I Don't Wanna Grow Up
"%9551,",TRJPQSO128F422B182,AREMGDO1187FB5C4A2,75654,2,I Don't Wanna Grow Up
"%89387,",TRKWDGP128F934DC10,ARMNWUT1187FB3D8F9,89390,3,Wheel of Fortune
"%89387,",TRUUDDE128F92EFB7C,ARQFFTK1187FB4C7E1,100908,3,Wheel Of Fortune
"%89387,",TRGAVHA12903CE926D,AROCSHI1187FB3DF5A,89392,3,Wheel of Fortune
"%40337,",TRLCQRI128F92F5EE4,ARTO3L81187B9ACA8C,55397,3,Calling You
"%40337,",TRJUTXV128F42A2951,ARYFH2E1187FB4963E,40337,3,Calling You
"%40337,",TRKCVAS128F92F19B6,AREMOC71187B996C2F,59052,3,Calling You
"%37149,",TRIWEER128F934D343,AR7SJ5I1187B9B8299,37151,2,Cock In My Pocket
"%37149,",TRSUTVL12903D097B2,AR9ZS1Q1187FB50338,37149,2,Cock In My Pocket
"%9879,",TRCCGSP12903CDC426,AR9VN011187B9ADD25,86489,2,I Can Only Give You Everything
"%9879,",TRNSTHZ128F149EBAC,ARB336A1187B9A4583,9880,2,I Can Only Give You Everything  (LP Version)
"%115408,",TRRLMBH128F146F74A,ARHTAPO1187FB5AADE,138611,2,Murders In The Rue Morgue (1998 Digital Remaster)
"%115408,",TRJAKSW128F935A651,ARTQKVD1187B98DF8C,138612,2,Murders In The Rue Morgue (Bonus Song)
"%52930,",TRDAWNO12903C9C71F,ARVNGA71187FB3C107,52931,2,If I'm Not In Love (Album Version)
"%52930,",TRCTRLX128F93073E4,ARH3TXI1187FB3A486,52930,2,If I'm Not In Love
"%1792,",TRORHCN128E0785FA5,AR5GMAV1187FB3A8F5,51150,7,Crying In The Chapel
"%1792,",TRQZLRA128F1484CFB,ARFFQCQ1187B988D82,81614,7,Crying In The Chapel
"%1792,",TRTWBKF12903CD96B6,AR9JSH21187FB4C028,50948,7,Crying in the Chapel
"%1792,",TRLCZNQ128F145BB64,AR1UBH11187FB3643A,63799,7,Crying In The Chapel (1991 Digital Remaster)
"%1792,",TRZJQVL128F92F0834,AR358YS1187FB44A29,106775,7,Crying In The Chapel
"%1792,",TRVPEPD128F931D608,AR6TD9K1187B9A207D,81924,7,Crying In The Chapel
"%1792,",TRHWDDB12903CEB791,ARARUSD1187B9A5050,119636,7,Crying In The Chapel
"%4665,",TRWYGUN128F4294892,ARQ2FVV1187FB4141A,4666,4,Season Of The Witch (2004 Digital Remaster)
"%4665,",TRAZZJD128F92F36CE,AR6JY3I1187B98DAF7,60671,4,Season Of The Witch (LP Version)
"%4665,",TRFWDCI128E0791BE1,ARZZXT51187FB4627E,39091,4,Season Of The Witch
"%4665,",TRWYZXB128F145D7FA,AR6M65W1187FB3611E,4665,4,Season Of The Witch
"%45207,",TRIASFH128F9330A84,ARCZC791187B991DF4,36987,2,Pretty Paper
"%45207,",TRXJOSO12903CCA837,ARFAN5B1187FB3A6BB,43777,2,Pretty Paper
"%1415,",TRCAMQK128F1485B01,ARU2GS01187FB39974,46609,10,Suzanne
"%1415,",TRHCGWR128F9324534,AR8AYDW1187FB4BA8F,77125,10,Suzanne
"%1415,",TRTRSMY128F1466FFA,ARAYMO31187FB467AB,113543,10,Suzanne
"%1415,",TRBLXAV128F92C2AD9,AR2UWUD1187B9B3B01,24880,10,Suzanne
"%1415,",TRMMCZF128F9339016,ARTQ8QP1187FB3D220,28912,10,Suzanne
"%1415,",TRIOFRQ128F427E0F1,ARMG9NK1187B99155A,99896,10,Suzanne
"%1415,",TRHAZEF12903CCB953,ARM900S1187FB5A3F7,103371,10,Suzanne
"%1415,",TROBDGE128F147128E,ARPGQ9A1187FB4D0AD,29811,10,Suzanne (Remastered Album Version)
"%1415,",TRIZUPE128F4291EBD,ARNHJ771187B9AAA5A,132140,10,Suzanne
"%1415,",TRIMFJB128F4255E0E,AR8X2981187B98FAAE,-1,10,Suzanne
"%19454,",TRVBLHI128F42659A3,AR88ALP1187FB3669B,19454,2,Lyin' Ass Bitch
"%19454,",TRISQGE128F4221795,ARZJ4MI1187B9AF5AF,53854,2,Lyin' Ass Bitch (Featuring Rachel Minton of Zolof The Rock & Roll Destroyer)
"%27460,",TREUREL128F4267DCF,ARVDO8G1187B99F43E,27461,2,Let's Have A War
"%27460,",TRWWFLK128F423772C,AR3KFM11187FB51278,27460,2,Let's Have A War
"%39104,",TRVQYOZ128F14A2D28,AR7FZ7W1187B9A5D13,91382,6,Creepin'
"%39104,",TRMJAKZ12903CEA204,ARZPDAD1187B98D940,76043,6,Creepin'
"%39104,",TRFPAPF128F42AC265,ARD5VN51187B9B8D29,43021,6,Creepin'
"%39104,",TRDXQBF128F92D95F8,ARFOMBD1187FB4CD21,43389,6,Creepin'
"%39104,",TRCVTFI128F4288FAB,AR642CN1187FB3B3C6,93047,6,Creepin'
"%39104,",TRISAWT12903CAEB12,ARIC3EM1187B9A3712,50424,6,Creepin'
"%2713,",TRZWAPO128F4297C3F,AR7DO6G1187FB41056,108019,3,Turn Me Loose (1997 Digital Remaster)
"%2713,",TRNTTJQ12903CBA6D6,ARIQD5J1187B98D8DC,2713,3,Turn Me Loose
"%2713,",TRNYDBY128F4278356,AR8JFKQ1187FB3EF24,94244,3,Turn Me Loose
"%2247,",TRPLRHD128F92CE226,ARJBWQI1187B9B17D1,78760,3,Iron Maiden
"%2247,",TRIFDSD128F1474E83,ARHTAPO1187FB5AADE,2247,3,Iron Maiden (Live '01)
"%2247,",TROSGHV128F4257D4D,ARM9RJ51187B9B10DA,149811,3,Iron Maiden
"%83881,",TREKLYZ128F92F6074,ARJUNZD1187B9A5DAE,83909,4,I've Grown Accustomed To Her Face
"%83881,",TRCZIQW12903CD923F,ARKETDZ1187B9B2566,83917,4,I've Grown Accustomed To Her Face
"%83881,",TRJCBGS128F14689B3,ARIFGKC1187B9B04D5,84025,4,I've Grown Accustomed To Her Face
"%83881,",TRVICVE128F933BA79,ARAFPO71187B9BA100,98365,4,I've Grown Accustomed To His Face
"%2762,",TRKMIRZ128F92FC65F,AR9VTPV1187FB4D2AF,93621,5,The Dark End Of The Street
"%2762,",TRELUYR128F4286D92,AR7BGWD1187FB59CCB,2766,5,Dark End Of The Street   (LP Version)
"%2762,",TRMPUOZ128F422ADAD,ARMRP5A1187B9A73F1,71551,5,Dark End Of The Street
"%2762,",TRMNQGE128F9303A3C,ARTXQMG1187FB44701,2762,5,The Dark End Of The Street
"%2762,",TRYQJKZ128E0784A04,AROJ4691187FB3EC1C,-1,5,Dark End Of The Street
"%21233,",TRCZFUA12903CF80C9,ARAEDZO12131B4B54D,21233,5,You Spin Me Round (Like A Record)
"%21233,",TRRDHGP128F426557F,ARTM7BI1187B98AD9A,21234,5,You Spin Me Round (Like A Record)
"%21233,",TRQYALS128F4271349,ARF7QRV1187B99C749,82701,5,You Spin Me Round (Like A Record)
"%21233,",TRCWLPW128F426987C,ARLKF6O1187FB3659C,87095,5,You Spin Me Right Round
"%21233,",TRWLMUM128F427BEFD,ARIJPXL1187B9AB43A,-1,5,You Spin Me Round (Like A Record)
"%12287,",TREBLJK128F4237A72,ARROQSO1187B9AEB80,12287,2,Once In A Lifetime ( LP Version )
"%12287,",TRKHAXP128F4259347,AR9L0H31187B98C7CE,128393,2,Once In A Lifetime
"%68052,",TRCMEIY128F9336E8E,ARZOLYS12086C12DE6,101102,2,Military Madness
"%68052,",TRCMHSS128F4274D5F,ARFAC0T1187B98C410,68052,2,Military Madness (LP Version)
"%662,",TRTFXAO128F14A27A9,AR4PQ891187FB5CA9F,1520,3,A Hard Day's Night (LP Version)
"%662,",TRBXLOI128EF344591,ARXGNJV1187B9B8962,44906,3,A Hard Day's Night  (LP Version)
"%662,",TRQWNRO128F428B551,AR9H9DL1187B9B9691,43293,3,A Hard Day's Night
"%40112,",TROEYJW128F428AB68,AR6G3T11187FB4377A,132386,3,Milestones
"%40112,",TRYOABR128F1495B40,ARY29Z81187B9B38FB,54291,3,Milestones
"%40112,",TRQOOFO128F93245C8,AR00AP71187B99635F,40112,3,Milestones (08/14/47)
"%98138,731,",TRJQNUY128EF367651,AR4SBWX1187FB4D6BE,733,7,All By Myself (Album Version)
"%98138,731,",TREQCUX128F1459CE5,ARBZX3K1187FB3F5FC,81004,7,All By Myself
"%98138,731,",TRBPNPN128F92EC5F5,ARFWL8S1187B9B4B44,739,7,All By Myself
"%98138,731,",TRECJKD128F42774E0,ARXZIHJ1187B9A4ED9,74815,7,All By Myself
"%98138,731,",TRWWNHH128F425628A,AR8LA5Y1187B98D9E2,98140,7,Full Moon And Empty Arms
"%98138,731,",TRHMXVQ128F92F37E1,ARM7CYZ1187B9B8DC5,731,7,All By Myself
"%98138,731,",TRBULYV128F9320619,ARFEZRN1187FB3E182,746,7,All By Myself
"%116230,",TRZPZCV128F1453CAC,AR83T1H1187B99FA5F,143869,2,Breaking The Girl
"%116230,",TROXIGA128F146D765,ARE8GLF1187FB52532,143868,2,Breaking The Girl (Album Version)
"%72500,",TRKSSHJ128F1457F52,AR0YTWT1187FB3D62F,72500,2,I've Done Everything For You (1992 Digital Remaster)
"%72500,",TRFDTEJ128F428870F,ARUUKVP1187B9AF57D,72503,2,I've Done Everything For You
"%403,",TRASQOB128F4278EEE,ARYVNQ21187B9AF714,50727,4,Don't Speak (Album Version)
"%403,",TREREBE128E078EB58,ARPVCLJ1187B9AC403,403,4,Don't Speak
"%403,",TRVVLWJ128EF343393,AR0U2WK1187B9B3D94,77706,4,Don't Speak
"%403,",TRPQGHL128F933A453,AR3MVZ31187FB573C4,35089,4,Don'T Speak
"%4689,",TRCKVSV128F92F34F7,AROQS6O1187FB3D146,116176,9,Love Is Here To Stay
"%4689,",TRRHWLN128F14A3095,ARLPFWM1187FB4CCCB,88978,9,Love Is Here To Stay
"%4689,",TRPKYYS128F146412E,ARAOOCU1187FB3F3D8,135670,9,Love Is Here To Stay (2003 Digital Remaster)
"%4689,",TROUHQL128F421EB83,ARLO2801187FB3CBF5,146238,9,Love Is Here To Stay (Live)
"%4689,",TRFFEJK128F42771A7,ARF6C551187FB40741,96694,9,Love Is Here To Stay
"%4689,",TRIASBZ128F428D594,ARGTB581187B988D42,83090,9,Our Love Is Here To Stay
"%4689,",TRFFGHD128F92FE8A7,ARXUG3L1187B9A8DBC,86656,9,Love Is Here To Stay (Album Version)
"%4689,",TRTZISD128F14883B6,ARHAS6X1187B9901C6,43982,9,Our Love Is Here To Stay
"%4689,",TRGOPZB128F42634D8,ARXOB9P1187B99101A,39176,9,Love Is Here To Stay
"%62158,",TRCYCRI128F1471298,ARPGQ9A1187FB4D0AD,62159,2,Dress Rehearsal Rag (Remastered Album Version)
"%62158,",TRRMLVH128F427889A,ARTQ8QP1187FB3D220,62158,2,Dress Rehearsal Rag
"%14669,",TRIHLWK128F426B8F1,AR7ZRPS1187B9B5D7F,99331,2,Take The Skinheads Bowling (feat. Victor Krummenacher_ Cris Pedersen_ Jonathan Segal_ Graham Connah_ Walter Malli)
"%14669,",TRBYIZN128E0794E79,AR12UD81187B98CB39,14669,2,Take The Skinheads Bowling
"%60051,",TRRCQCO128F42B2051,ARD914N1187FB56BDD,60057,2,Oblivious (song for Galaxy 500 tribute)
"%60051,",TRBWYDX12903CD6A0D,ARFULGF1187FB5690C,60051,2,Oblivious
"%109691,",TRGZFLG128F426A555,AR15IO41187FB4D3FF,109691,2,Slow Like Honey
"%109691,",TRGMCJU128F92ECA10,ARCNW7U1187FB3B219,109692,2,Slow Like Honey
"%3775,",TRWPPHZ128F146F5C1,AR5J7RY1187FB3781C,70811,2,Lovin' You
"%3775,",TRFIPAQ128F931F7B5,ARSZWK21187B9B26D7,3775,2,(Sittin' Here) Lovin' You
"%39117,",TRNUJFN128F42785C9,ARWQEZJ1187FB3ADA9,39120,3,A Kiss To Build A Dream On
"%39117,",TRPHZVM128F930C859,AR4JY8V1187B98A62F,71400,3,A Kiss To Build A Dream On
"%39117,",TRIVGUV12903CC44F6,ARXOB9P1187B99101A,39137,3,A Kiss To Build A Dream On
"%19578,",TROPBOX128F4267FA8,ARMHDEZ1187FB43997,19578,3,Shining Star
"%19578,",TRPMHHP128F933DB50,ARR9XGB1187B9912E6,109961,3,Shining Star
"%19578,",TRZYBVJ128E0782DB1,ARCLFWR1187B9AE7B2,19579,3,Shining Star
"%4156,",TRLQVYP128F933093A,AR20RMZ1187B9B2994,52961,2,Can't Get Used To Losing You
"%4156,",TRKUMCE128F4292AA4,AR65T9K1187FB3842E,89379,2,Can't Get Used To Losing You
"%1223,",TRGJAGS128F92E22D9,ARDGES11187B9B7DDF,1225,4,Jealous Guy
"%1223,",TRYPFBH128F146EF5E,ARFONB81187B994D01,46536,4,Jealous Guy (Acoustic) (Album Version)
"%1223,",TRFSGBU128F428E155,AR2F1JC1187FB4EFB0,57766,4,Jealous Guy (Remastered)
"%1223,",TRUWLEA128F428C878,ARJWNUT1187B9907B5,56582,4,Jealous Guy (Album Version)
"%103288,",TRIHLRK128F9358782,ARR057Y1187B9A16E7,103290,2,Hell Is For Children
"%103288,",TRAKTZP128F427DB55,AR0TGZI1187B992539,115689,2,Hell Is For Children
"%33056,",TRPWZSO128F9310B67,ARQT9SA1187B9AD3C7,33056,2,Barrytown
"%33056,",TRQZQCQ12903C9AA47,ARBAN8S1187FB4D22F,33057,2,Barrytown
"%13230,",TRLUNCP128F42BA510,ARFCUN31187B9AD578,13230,3,Tumbling Dice
"%13230,",TRTHGZF128F42381B7,ARWW0KV1187FB551A6,23871,3,Tumbling Dice (LP Version)
"%13230,",TRPEMON128F933F6E2,ARJT7OG1187FB3A07F,-1,3,Tumbling Dice
"%1182,",TRTAJDB128F14640CF,AR2665Z1187FB56AB9,1182,2,Machine Gun
"%1182,",TRKSKCH128F92F3858,AR7PPJV1187FB397CC,77188,2,Machine Gun
"%38355,",TRDIHMD128F9324A40,ARDQKMM1187FB3F4F0,38355,2,I have always been here before
"%38355,",TRVCJSF128F1486EE4,ARIYD341187B98CF7C,38356,2,I Have Always Been Here Before
"%23735,",TRWMTGE128F932E125,AR1F5321187B9A3EBF,23735,2,At The Hop
"%23735,",TRYHNQC12903CAC00B,ARCBVD51187FB52E1D,23744,2,At The Hop
"%37581,",TRKHUOZ12903CBA4CC,ARIWB161187B9AA1D5,37581,2,Cloudy
"%37581,",TRPWXSD128F426E950,ARVOZJQ1187FB5A2F8,104433,2,Cloudy
"%75234,",TRBFMIU12903CB8536,AR00A6H1187FB5402A,101268,2,So Long (Originally Performed by Abba)
"%75234,",TRAWTGT128F146ECF1,ART50HO1187FB4D0ED,75234,2,So Long
"%32322,",TRHLTRO128F92EA51A,ARNYFVH1187B9B6A9E,32322,4,New York State Of Mind
"%32322,",TRWRNUH128F92D1663,AR14LJF1187FB38AD6,143123,4,New York State Of Mind
"%32322,",TRRDPUY128F1463693,ARQAHR31187FB3FDD0,65605,4,New York State Of Mind
"%32322,",TRENGNK128F426199E,ARGJ1ZL1187FB3FC38,32323,4,New York State Of Mind
"%20911,",TRSVLHR12903CBCBDF,ARPC1EC1187B99CEA0,20913,3,No Matter What
"%20911,",TRKCPSP128E0793234,ARCQ0AA1187B9AE55A,20912,3,No Matter What
"%20911,",TRWMIAI128F92EB21D,ARL7YU61187B9B85D7,117339,3,No Matter What
"%103112,",TRFHCJO128F429B621,ARXPE571187FB4AFD0,103113,2,Easy Money (LP Version)
"%103112,",TRKIMOT128F4233375,ARNEYLP1187FB374F6,103112,2,Easy Money (Album Version)
"%88152,",TRDYAHD128E0798912,ARC1IHZ1187FB4E920,88153,2,Catch The Sun
"%88152,",TRPYCFE128F934B878,ARW64KS1187FB3C94D,88152,2,Catch The Sun
"%18478,",TRWPFIX128F42733F6,ARCE0H01187B9AF741,18485,2,Beautiful World
"%18478,",TRGGSWV128F1458AB2,ARYML1P1187B9AF39B,18478,2,Beautiful World
"%6031,",TRGXVLB12903CACED0,AR66H0N1187B9AE91E,9162,9,Come Rain or Come Shine
"%6031,",TRFJZCW128F423408E,ARC7S1F1187B98CF1D,35863,9,Come Rain Or Come Shine (LP Version)
"%6031,",TRGGVZU128EF35E2D1,ARIXE8X1187B999C7B,95978,9,Come Rain Or Come Shine
"%6031,",TRIAYQI128F92D16D6,AR2DMFV1187FB5CA95,108272,9,Come Rain Or Come Shine
"%6031,",TRBWXTR128F424B838,ARQ6PLP1187FB468E3,74831,9,Come Rain or Come Shine
"%6031,",TRSOAAB128F1498895,ARCN61O1187B9ABBE8,45595,9,Come Rain Or Come Shine
"%6031,",TRZZBAC128F422B9A3,ARE0WH81187B9A7BA3,69968,9,Come Rain Or Come Shine
"%6031,",TRWWGAS128F42B7471,ARQ4IRI1187FB5C278,41409,9,Come Rain Or Come Shine
"%6031,",TRPYZOD128F427C1AE,ARTASUV1187B9A2B67,-1,9,Come Rain_ Or Come Shine
"%9951,",TRDWFDN128F426B027,AR51USL1187FB44216,9951,2,Move It On Over
"%9951,",TRCPIOF12903CAB4AF,ARDBGHU1187FB52D08,14024,2,Move It On Over
"%1252,17982,",TRURAKJ128F4276554,ARDP7ZR1187B98CB33,24368,2,When The Levee Breaks
"%1252,17982,",TRVPPCL128F4292159,ARDIBRT1187B9AF176,1252,2,When The Levee Breaks (2007 Remastered LP Version)
"%16986,",TRKWHBP12903D01ACC,ARNYS9L1187B98F1C2,123876,4,Maniac
